Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,-2.945767490424767376e-06,-2.502517926116732010e-05
2.000793650793650791e+00,-2.024026834112243886e-06,-1.256384720931987303e-05
2.001587301587301582e+00,-1.241092781780450686e-06,3.076293273660584202e-06
2.002380952380952372e+00,-8.095712708272297574e-07,1.990967152015401956e-05
2.003174603174603163e+00,-8.368071164763707546e-07,3.581411665231604803e-05
2.003968253968253954e+00,-1.312786196498672711e-06,4.867379637663072375e-05
2.004761904761904745e+00,-2.124654868568955353e-06,5.656601968484082759e-05
2.005555555555555536e+00,-3.091544755935265615e-06,5.802591324482077041e-05
2.006349206349206327e+00,-4.009886099141123318e-06,5.234170158119105034e-05
2.007142857142857117e+00,-4.698437752296234873e-06,3.977633584491048908e-05
2.007936507936507908e+00,-5.033786106392035841e-06,2.161877245315717579e-05
2.008730158730158699e+00,-4.970362980786304764e-06,2.947658435453526143e-08
2.009523809523809490e+00,-4.542840901988238395e-06,-2.228362603335519085e-05
2.010317460317460281e+00,-3.852019477387463318e-06,-4.247727881054638016e-05
2.011111111111111072e+00,-3.037831945497654832e-06,-5.798248778410882153e-05
2.011904761904761862e+00,-2.245326715625892071e-06,-6.684143528187817460e-05
2.012698412698412653e+00,-1.591390558813163035e-06,-6.793799916717361035e-05
2.013492063492063444e+00,-1.140516053151259571e-06,-6.111501666710888244e-05
2.014285714285714235e+00,-8.958800861806242108e-07,-4.716947111889064590e-05
2.015079365079365026e+00,-8.073361625878700641e-07,-2.770774527710573309e-05
2.015873015873015817e+00,-7.920784128661167512e-07,-4.869367143686596700e-06
2.016666666666666607e+00,-7.591404418692280876e-07,1.901617068811758989e-05
2.017460317460317398e+00,-6.279111510282312462e-07,4.174340804029392588e-05
2.018253968253968189e+00,-3.344789581537457378e-07,6.143877811137321652e-05
2.019047619047618980e+00,1.733240278948892130e-07,7.663068736906997755e-05
2.019841269841269771e+00,9.438884487503155475e-07,8.620073606917018230e-05
2.020634920634920562e+00,2.020595435644101044e-06,8.928614167806359385e-05
2.021428571428571352e+00,3.421849298395182269e-06,8.523249563302596728e-05
2.022222222222222143e+00,5.102604526204804703e-06,7.367228675463592799e-05
2.023015873015872934e+00,6.911043035118048363e-06,5.473026696996884989e-05
2.023809523809523725e+00,8.564354072966129966e-06,2.927101953032713863e-05
2.024603174603174516e+00,9.667678183115660599e-06,-9.430140047044045542e-07
2.025396825396825307e+00,9.787290086888085367e-06,-3.329165370165784450e-05
2.026190476190476097e+00,8.567123556640660149e-06,-6.456379477369466322e-05
2.026984126984126888e+00,5.856400413917499385e-06,-9.139626326592768433e-05
2.027777777777777679e+00,1.805112153470585271e-06,-1.107862577942393987e-04
2.028571428571428470e+00,-3.111648975002175480e-06,-1.205716579659262715e-04
2.029365079365079261e+00,-8.160725822704420899e-06,-1.197848485450285575e-04
2.030158730158730052e+00,-1.250125948893638355e-05,-1.088152849752557761e-04
2.030952380952380842e+00,-1.538108392799710414e-05,-8.936331472085074423e-05
2.031746031746031633e+00,-1.632207887244091748e-05,-6.421131915738037326e-05
2.032539682539682424e+00,-1.523633922237207310e-05,-3.685472897976874412e-05
2.033333333333333215e+00,-1.243596788526570608e-05,-1.102772582868868478e-05
2.034126984126984006e+00,-8.535789222683483327e-06,9.847240313569141285e-06
2.034920634920634797e+00,-4.285111605804496984e-06,2.323823811253376956e-05
2.035714285714285587e+00,-3.857156476211281760e-07,2.802217225508875362e-05
2.036507936507936378e+00,2.649324852926941752e-06,2.481528400461692821e-05
2.037301587301587169e+00,4.563713182885438893e-06,1.598383247772473763e-05
2.038095238095237960e+00,5.350656196657666233e-06,5.255354180660796582e-06
2.038888888888888751e+00,5.192265157787171389e-06,-3.042876847161134563e-06
2.039682539682539542e+00,4.377661290727548369e-06,-4.970106067855134130e-06
2.040476190476190332e+00,3.227308854087958162e-06,2.048701736750683286e-06
2.041269841269841123e+00,2.038018172842244320e-06,1.849687167834044018e-05
2.042063492063491914e+00,1.049170462346874443e-06,4.248639485708353926e-05
2.042857142857142705e+00,4.224367488866337742e-07,7.001806533419990266e-05
2.043650793650793496e+00,2.275188844795738719e-07,9.575269250776631471e-05
2.044444444444444287e+00,4.329701371732409612e-07,1.141430007792056876e-04
2.045238095238095077e+00,9.079100741488526323e-07,1.206748931943815793e-04
2.046031746031745868e+00,1.442172913593676533e-06,1.129127820347583543e-04
2.046825396825396659e+00,1.787927550152266722e-06,9.107329586188428147e-05
2.047619047619047450e+00,1.717586507099010473e-06,5.798317657670751018e-05
2.048412698412698241e+00,1.084971281733910527e-06,1.846551335237754101e-05
2.049206349206349032e+00,-1.270424371226295165e-07,-2.165144671738246913e-05
2.049999999999999822e+00,-1.786965524971135433e-06,-5.665640271909973432e-05
2.050793650793650613e+00,-3.630453963793968646e-06,-8.198159518360290999e-05
2.051587301587301404e+00,-5.308973443515049211e-06,-9.494772669517076501e-05
2.052380952380952195e+00,-6.460129508902750867e-06,-9.509524416233879496e-05
2.053174603174602986e+00,-6.782926449097345698e-06,-8.405868451750643934e-05
2.053968253968253777e+00,-6.100833639934487242e-06,-6.505163360558019101e-05
2.054761904761904567e+00,-4.400291372433525516e-06,-4.211713488818168247e-05
2.055555555555555358e+00,-1.839418455065285749e-06,-1.932895558727964610e-05
2.056349206349206149e+00,1.272563482054176213e-06,-1.058909674230842398e-07
2.057142857142856940e+00,4.521608443738033642e-06,1.325147133614903236e-05
2.057936507936507731e+00,7.455103240107873769e-06,1.975227692590861967e-05
2.058730158730158522e+00,9.659065293350724765e-06,1.964327863855102230e-05
2.059523809523809312e+00,1.083286846182437558e-05,1.413120962705722448e-05
2.060317460317460103e+00,1.084517788239501717e-05,4.993365296258136488e-06
2.061111111111110894e+00,9.756532623032043217e-06,-5.818739021343331113e-06
2.061904761904761685e+00,7.801539926523948283e-06,-1.649584194671228695e-05
2.062698412698412920e+00,5.334428355741954022e-06,-2.556257344197772035e-05
2.063492063492063711e+00,2.751419697857917548e-06,-3.194957731159052281e-05
2.064285714285714501e+00,4.089850564009203581e-07,-3.499011275967824471e-05
2.065079365079365292e+00,-1.442381082756124008e-06,-3.439581134091831022e-05
2.065873015873016083e+00,-2.693534248430847818e-06,-3.024552632032876664e-05
2.066666666666666874e+00,-3.373996966820150255e-06,-2.298235956832042859e-05
2.067460317460317665e+00,-3.613891103201328986e-06,-1.338060553964551293e-05
2.068253968253968456e+00,-3.582372450387243991e-06,-2.437163861568859516e-06
2.069047619047619246e+00,-3.420995542647529659e-06,8.831352835881140382e-06
2.069841269841270037e+00,-3.192583567235880398e-06,1.965162653362088831e-05
2.070634920634920828e+00,-2.862667837429748769e-06,2.972612992498285426e-05
2.071428571428571619e+00,-2.321350807713388810e-06,3.931979062767417048e-05
2.072222222222222410e+00,-1.440214966262931803e-06,4.912402733977821350e-05
2.073015873015873201e+00,-1.451643293694634278e-07,5.991901009779906185e-05
2.073809523809523991e+00,1.523113806709284823e-06,7.215202519195699658e-05
2.074603174603174782e+00,3.388798079054374410e-06,8.557164791151874561e-05
2.075396825396825573e+00,5.175079091776468618e-06,9.900093675314282251e-05
2.076190476190476364e+00,6.583681341433235472e-06,1.102792598592430839e-04
2.076984126984127155e+00,7.387321260094201097e-06,1.164123339340039800e-04
2.077777777777777946e+00,7.494090256316832862e-06,1.140037603212443450e-04
2.078571428571428736e+00,6.957198569595419546e-06,1.000106851184676273e-04
2.079365079365079527e+00,5.933563823143361160e-06,7.273395168359840545e-05
2.080158730158730318e+00,4.620519861936824372e-06,3.277020146232831896e-05
2.080952380952381109e+00,3.204829945912107839e-06,-1.646703885625640151e-05
2.081746031746031900e+00,1.841788438970079176e-06,-6.899718699483581134e-05
2.082539682539682691e+00,6.585706844833815794e-07,-1.173826127179413342e-04
2.083333333333333481e+00,-2.383640819043206232e-07,-1.544410673696630513e-04
2.084126984126984272e+00,-7.694099128690167914e-07,-1.750260176483023084e-04
2.084920634920635063e+00,-9.041660026242587081e-07,-1.772665621259831106e-04
2.085714285714285854e+00,-6.873251027276544214e-07,-1.628317164503442825e-04
2.086507936507936645e+00,-2.496424396552894213e-07,-1.361490977679849111e-04
2.087301587301587436e+00,2.084114411332639955e-07,-1.029184090292424488e-04
2.088095238095238226e+00,4.596666688814759764e-07,-6.851928653019343754e-05
2.088888888888889017e+00,3.068465020179254288e-07,-3.688332504143817462e-05
2.089682539682539808e+00,-3.661326213213083318e-07,-1.011326613153338033e-05
2.090476190476190599e+00,-1.564213274821656760e-06,1.122503417396161731e-05
2.091269841269841390e+00,-3.179957838372630751e-06,2.744857359846563966e-05
2.092063492063492181e+00,-5.018704952031498698e-06,3.909785328616645112e-05
2.092857142857142971e+00,-6.840846718638104715e-06,4.652971493620604266e-05
2.093650793650793762e+00,-8.408737496575254932e-06,4.985328499222746121e-05
2.094444444444444553e+00,-9.525912141861819207e-06,4.913454262124184461e-05
2.095238095238095344e+00,-1.005956285662252278e-05,4.469358840868974022e-05
2.096031746031746135e+00,-9.943385654325241388e-06,3.731996018761493726e-05
2.096825396825396925e+00,-9.165494202305434675e-06,2.831159482383826666e-05
2.097619047619047716e+00,-7.751833029538055981e-06,1.933123983209331101e-05
2.098412698412698507e+00,-5.756225439340614500e-06,1.212103016023302448e-05
2.099206349206349298e+00,-3.263461538043770211e-06,8.130158865315671249e-06
2.100000000000000089e+00,-4.041773222257054120e-07,8.127121102262404215e-06
2.100793650793650880e+00,2.626997715183182602e-06,1.190160755835133084e-05
2.101587301587301670e+00,5.562711502627369903e-06,1.818982204169574239e-05
2.102380952380952461e+00,8.075575187308243878e-06,2.493720651834404361e-05
2.103174603174603252e+00,9.818885756553110525e-06,2.991072570154424380e-05
2.103968253968254043e+00,1.049382089703596259e-05,3.149971228359360229e-05
2.104761904761904834e+00,9.931532092387485028e-06,2.937749064432379094e-05
2.105555555555555625e+00,8.166965014954104946e-06,2.466363165391166157e-05
2.106349206349206415e+00,5.472846744457980215e-06,1.941710290476966362e-05
2.107142857142857206e+00,2.327233029073673011e-06,1.563769956440650796e-05
2.107936507936507997e+00,-6.888614430030021849e-07,1.424296568327073288e-05
2.108730158730158788e+00,-3.036091017389699485e-06,1.452518240461200458e-05
2.109523809523809579e+00,-4.355810476598164680e-06,1.435867425667773992e-05
2.110317460317460370e+00,-4.557869351780581000e-06,1.107240771833651297e-05
2.111111111111111160e+00,-3.832119878086347829e-06,2.619285391653738024e-06
2.111904761904761951e+00,-2.584625463932479020e-06,-1.142433574498933713e-05
2.112698412698412742e+00,-1.320402950758870369e-06,-2.940569842705842310e-05
2.113492063492063533e+00,-5.065147455190839794e-07,-4.785338265767321165e-05
2.114285714285714324e+00,-4.528530261129410971e-07,-6.235469471253608017e-05
2.115079365079365115e+00,-1.243023970594891486e-06,-6.875200714465549479e-05
2.115873015873015905e+00,-2.733316673307207384e-06,-6.427645338424306434e-05
2.116666666666666696e+00,-4.615527428374360688e-06,-4.830973720550700882e-05
