Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,-3.361234600097984352e-05,-7.380156510535519046e-05
2.000793650793650791e+00,-2.128702336609915698e-05,-6.723514077299066550e-05
2.001587301587301582e+00,-5.930883963234089198e-06,-5.443068125818403998e-05
2.002380952380952372e+00,9.202552277154905585e-06,-3.991437023063542635e-05
2.003174603174603163e+00,2.060994716975032818e-05,-2.749017413851269785e-05
2.003968253968253954e+00,2.568875689838700653e-05,-1.929730790841191062e-05
2.004761904761904745e+00,2.359529113994104365e-05,-1.571243636933204773e-05
2.005555555555555536e+00,1.549240467079529649e-05,-1.602991774776316625e-05
2.006349206349206327e+00,4.107628020651843376e-06,-1.945515658240756847e-05
2.007142857142857117e+00,-7.210654146263827631e-06,-2.574163937323710035e-05
2.007936507936507908e+00,-1.556524077020157769e-05,-3.499170824283559202e-05
2.008730158730158699e+00,-1.930737129302211174e-05,-4.670001677857057472e-05
2.009523809523809490e+00,-1.829353049390048224e-05,-5.869259039870456155e-05
2.010317460317460281e+00,-1.357542908214800282e-05,-6.676923522352351775e-05
2.011111111111111072e+00,-6.728418196155093606e-06,-6.548447430244721027e-05
2.011904761904761862e+00,8.526005410562556420e-07,-4.989080574593580464e-05
2.012698412698412653e+00,8.387458750486690974e-06,-1.758863123801860049e-05
2.013492063492063444e+00,1.572231955484605103e-05,2.973417064146338586e-05
2.014285714285714235e+00,2.296416583275347309e-05,8.592694904564361679e-05
2.015079365079365026e+00,2.995062202656848031e-05,1.414127812984268008e-04
2.015873015873015817e+00,3.584205554020766657e-05,1.853824711138171418e-04
2.016666666666666607e+00,3.907671596748333540e-05,2.084926056887973303e-04
2.017460317460317398e+00,3.777645191753891188e-05,2.052725032107029473e-04
2.018253968253968189e+00,3.048856309924234106e-05,1.755745111633824379e-04
2.019047619047618980e+00,1.698253894682334828e-05,1.246980438750839768e-04
2.019841269841269771e+00,-1.238913812524762777e-06,6.216833894049516879e-05
2.020634920634920562e+00,-2.097833094225653427e-05,-5.067736551932074755e-07
2.021428571428571352e+00,-3.800639128922916231e-05,-5.250271116389851518e-05
2.022222222222222143e+00,-4.818963161883208824e-05,-8.604513737198738192e-05
2.023015873015872934e+00,-4.872949182731363090e-05,-9.785715694613656963e-05
2.023809523809523725e+00,-3.908455547957282139e-05,-8.936731880877988557e-05
2.024603174603174516e+00,-2.123209749858614892e-05,-6.574973454609916784e-05
2.025396825396825307e+00,8.529521301381065203e-07,-3.420675751231239597e-05
2.026190476190476097e+00,2.234344654267322251e-05,-2.080074958940944128e-06
2.026984126984126888e+00,3.894181787273601322e-05,2.466397864220000048e-05
2.027777777777777679e+00,4.802380737222732596e-05,4.225431960765925943e-05
2.028571428571428470e+00,4.916468882035604531e-05,4.921979705162961028e-05
2.029365079365079261e+00,4.390653287651474692e-05,4.599258949497153675e-05
2.030158730158730052e+00,3.490713218414275785e-05,3.430199748967931796e-05
2.030952380952380842e+00,2.482640931615649900e-05,1.658282987665567743e-05
2.031746031746031633e+00,1.537963199329591224e-05,-4.499285427774183910e-06
2.032539682539682424e+00,6.900603603841413828e-06,-2.639016491393673402e-05
2.033333333333333215e+00,-1.451741162970244935e-06,-4.686981928523610379e-05
2.034126984126984006e+00,-1.096611382300447803e-05,-6.417226893507360056e-05
2.034920634920634797e+00,-2.245968492787137703e-05,-7.702984828252096533e-05
2.035714285714285587e+00,-3.556877896360520323e-05,-8.468260219534197268e-05
2.036507936507936378e+00,-4.856194619663412390e-05,-8.688657563783613890e-05
2.037301587301587169e+00,-5.877342069608392752e-05,-8.392188322827141562e-05
2.038095238095237960e+00,-6.349903396828576784e-05,-7.656019600028917196e-05
2.038888888888888751e+00,-6.099694029539215055e-05,-6.593120600026936289e-05
2.039682539682539542e+00,-5.117729851445133887e-05,-5.325459074476728087e-05
2.040476190476190332e+00,-3.568719423735039172e-05,-3.948164284095617005e-05
2.041269841269841123e+00,-1.735699961102000731e-05,-2.498459272600402734e-05
2.042063492063491914e+00,7.468524837445810315e-07,-9.475762182387870161e-06
2.042857142857142705e+00,1.625554859717317805e-05,7.724645500524296457e-06
2.043650793650793496e+00,2.804103504237314551e-05,2.711927068379633990e-05
2.044444444444444287e+00,3.618900192491874282e-05,4.839181215085994170e-05
2.045238095238095077e+00,4.148197159114375951e-05,7.000193788225464323e-05
2.046031746031745868e+00,4.467468878716663878e-05,8.924489064541336544e-05
2.046825396825396659e+00,4.590981591553845785e-05,1.028053148132689211e-04
2.047619047619047450e+00,4.453791121396430636e-05,1.076310808998432345e-04
2.048412698412698241e+00,3.941708650036780085e-05,1.018392424930758566e-04
2.049206349206349032e+00,2.955818020606192293e-05,8.536659460693966309e-05
2.049999999999999822e+00,1.483794786793837693e-05,6.016298403577321276e-05
2.050793650793650613e+00,-3.522428002743476898e-06,2.986258025694980570e-05
2.051587301587301404e+00,-2.292723270308837200e-05,-9.760770155817435126e-07
2.052380952380952195e+00,-3.988240779593340315e-05,-2.784481007139246212e-05
2.053174603174602986e+00,-5.086882566629018210e-05,-4.720982893565353876e-05
2.053968253968253777e+00,-5.336457744213071150e-05,-5.715553568333702779e-05
2.054761904761904567e+00,-4.668835188419118935e-05,-5.761067793555107265e-05
2.055555555555555358e+00,-3.235158578982458868e-05,-5.013374313913404026e-05
2.056349206349206149e+00,-1.374296768595939351e-05,-3.734844745885009215e-05
2.057142857142856940e+00,4.800776515377731262e-06,-2.221262110018468075e-05
2.057936507936507731e+00,1.924699353605982167e-05,-7.346152359849310349e-06
2.058730158730158522e+00,2.701705448474373190e-05,5.390068682569300975e-06
2.059523809523809312e+00,2.764290714443140123e-05,1.498086185430493770e-05
2.060317460317460103e+00,2.272329232898119439e-05,2.106461562350791771e-05
2.061111111111110894e+00,1.522382533057828382e-05,2.361874329086334408e-05
2.061904761904761685e+00,8.386201016793241847e-06,2.269829388361576495e-05
2.062698412698412920e+00,4.632351048321684679e-06,1.834722192521438328e-05
2.063492063492063711e+00,4.835028028434761582e-06,1.070860972819565189e-05
2.064285714285714501e+00,8.182174923248743053e-06,2.667444620235400030e-07
2.065079365079365292e+00,1.264073979973107075e-05,-1.191219635814406482e-05
2.065873015873016083e+00,1.581330424662517661e-05,-2.408953908131295085e-05
2.066666666666666874e+00,1.585910276293807372e-05,-3.401481823904492979e-05
2.067460317460317665e+00,1.215549583242985571e-05,-3.934333526665668740e-05
2.068253968253968456e+00,5.489643925963022163e-06,-3.821218423008601324e-05
2.069047619047619246e+00,-2.256645483538125590e-06,-2.980687600707984886e-05
2.069841269841270037e+00,-8.791928272156510207e-06,-1.473918193200417455e-05
2.070634920634920828e+00,-1.221255401600994060e-05,4.897327371165781261e-06
2.071428571428571619e+00,-1.162803563561302409e-05,2.584167881017271961e-05
2.072222222222222410e+00,-7.407091104090279852e-06,4.429656583998712693e-05
2.073015873015873201e+00,-9.884683988022529311e-07,5.673322361341298365e-05
2.073809523809523991e+00,5.637607429205113878e-06,6.067335532434514915e-05
2.074603174603174782e+00,1.056762147029999324e-05,5.525243834763667744e-05
2.075396825396825573e+00,1.252320394850085750e-05,4.142879259583477977e-05
2.076190476190476364e+00,1.114151033826686365e-05,2.180068742338926683e-05
2.076984126984127155e+00,6.973452180244601924e-06,9.082649236206932227e-08
2.077777777777777946e+00,1.237143309072089345e-06,-1.957894946640171844e-05
2.078571428571428736e+00,-4.569927489098566838e-06,-3.347890093763200017e-05
2.079365079365079527e+00,-9.078933451036483318e-06,-3.899360412120660965e-05
2.080158730158730318e+00,-1.137289531494544265e-05,-3.516116726763967134e-05
2.080952380952381109e+00,-1.115952678776929091e-05,-2.293909594644961928e-05
2.081746031746031900e+00,-8.776916143622568784e-06,-5.133390570257710774e-06
2.082539682539682691e+00,-5.058262927724857983e-06,1.403511704121125846e-05
2.083333333333333481e+00,-1.109025953680523114e-06,2.969718414432433835e-05
2.084126984126984272e+00,1.943375813035074080e-06,3.733095534248077305e-05
2.084920634920635063e+00,3.178077752780450108e-06,3.381112338535524918e-05
2.085714285714285854e+00,2.056750272877413873e-06,1.828877291614852864e-05
2.086507936507936645e+00,-1.469168569766086948e-06,-7.329167027910606997e-06
2.087301587301587436e+00,-6.929914832250709833e-06,-3.849791582712046019e-05
2.088095238095238226e+00,-1.339508986631654824e-05,-6.884542399958023303e-05
2.088888888888889017e+00,-1.961941794578881713e-05,-9.156935822808690050e-05
2.089682539682539808e+00,-2.426402785444194848e-05,-1.010597228483053103e-04
2.090476190476190599e+00,-2.615810252876789145e-05,-9.423852259802759795e-05
2.091269841269841390e+00,-2.454411176855312321e-05,-7.121762898815654135e-05
2.092063492063492181e+00,-1.924517388372159267e-05,-3.519823500745318550e-05
2.092857142857142971e+00,-1.071526316013088005e-05,8.179766287788301602e-06
2.093650793650793762e+00,2.747673440989739785e-08,5.179178617124001200e-05
2.094444444444444553e+00,1.155220494373651203e-05,8.818481907928564663e-05
2.095238095238095344e+00,2.221449908824207922e-05,1.109135509992443728e-04
2.096031746031746135e+00,3.038236685340006614e-05,1.159082786301795999e-04
2.096825396825396925e+00,3.468143537339688236e-05,1.025184292469987683e-04
2.097619047619047716e+00,3.424200112781867225e-05,7.381140588470532350e-05
2.098412698412698507e+00,2.890387118773578970e-05,3.588793473812178843e-05
2.099206349206349298e+00,1.931601273924932495e-05,-3.685148670263981451e-06
2.100000000000000089e+00,6.878493154746312921e-06,-3.789678072397621554e-05
2.100793650793650880e+00,-6.486069754634550297e-06,-6.215883210436673034e-05
2.101587301587301670e+00,-1.869396839390411713e-05,-7.542632116815277464e-05
2.102380952380952461e+00,-2.791486292844252257e-05,-8.018892059087197820e-05
2.103174603174603252e+00,-3.293365400708935436e-05,-8.130411615945737109e-05
2.103968253968254043e+00,-3.335359384551381007e-05,-8.402863090106910159e-05
2.104761904761904834e+00,-2.957382852650661465e-05,-9.188880228360113769e-05
2.105555555555555625e+00,-2.255510734717006973e-05,-1.051163091982768060e-04
2.106349206349206415e+00,-1.347375264112379822e-05,-1.202340637550696791e-04
2.107142857142857206e+00,-3.403932601162414888e-06,-1.310171963265343035e-04
