Timestamp,Flexor carpi radialis,Extensor digitorum
2.000000000000000000e+00,-1.082404810540053600e-05,-7.259311944060854130e-05
2.000793650793650791e+00,4.432749733040515429e-05,-6.645470061104919465e-05
2.001587301587301582e+00,9.245246488691358038e-05,-4.744133654627974482e-05
2.002380952380952372e+00,1.264551834392286590e-04,-1.901250338272697477e-05
2.003174603174603163e+00,1.420806180732141590e-04,1.358362542218818018e-05
2.003968253968253954e+00,1.385114195828458599e-04,4.447710451305543104e-05
2.004761904761904745e+00,1.182146020064092173e-04,6.838799562549889599e-05
2.005555555555555536e+00,8.612847176148026259e-05,8.162652894344505467e-05
2.006349206349206327e+00,4.843250325350955033e-05,8.271307084565591278e-05
2.007142857142857117e+00,1.122137783328072641e-05,7.254510368470473355e-05
2.007936507936507908e+00,-2.060956030590540061e-05,5.411374486438132414e-05
2.008730158730158699e+00,-4.405348851672133111e-05,3.182665203884159713e-05
2.009523809523809490e+00,-5.817637393061395756e-05,1.054953956871470345e-05
2.010317460317460281e+00,-6.384759092429032198e-05,-5.451230637209429390e-06
2.011111111111111072e+00,-6.316126344354326661e-05,-1.342233770641203197e-05
2.011904761904761862e+00,-5.873268916921690577e-05,-1.265084233908156549e-05
2.012698412698412653e+00,-5.304395831921239685e-05,-4.451386794884239308e-06
2.013492063492063444e+00,-4.796678262573623211e-05,8.382956602460544466e-06
2.014285714285714235e+00,-4.452639939506071183e-05,2.249256638341116349e-05
2.015079365079365026e+00,-4.290488093880972782e-05,3.493540574642954100e-05
2.015873015873015817e+00,-4.262924045746935341e-05,4.393815032495276081e-05
2.016666666666666607e+00,-4.285941681299670577e-05,4.920558878029045337e-05
2.017460317460317398e+00,-4.268762277425236078e-05,5.174472275629912315e-05
2.018253968253968189e+00,-4.137989772164322295e-05,5.332030137173932938e-05
2.019047619047618980e+00,-3.852237498828041211e-05,5.575369810009423138e-05
2.019841269841269771e+00,-3.406636204126345976e-05,6.028688367107633392e-05
2.020634920634920562e+00,-2.828926282429662095e-05,6.717453296269721341e-05
2.021428571428571352e+00,-2.169961690121883260e-05,7.557910074220295315e-05
